horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w
38.46153846153846,3.4188034188034186,28.205128205128204,29.914529914529915
40.0,5.714285714285714,25.714285714285715,28.571428571428573
44.554455445544555,3.9603960396039604,19.801980198019802,31.683168316831683
38.70967741935483,6.451612903225806,25.806451612903224,29.032258064516128
59.37500000000001,2.0833333333333335,31.250000000000004,7.291666666666667
32.38095238095238,2.8571428571428568,31.428571428571427,33.33333333333333
37.142857142857146,5.714285714285714,34.285714285714285,22.857142857142858
41.73913043478261,3.4782608695652173,40.869565217391305,13.91304347826087
41.228070175438596,3.508771929824561,22.807017543859647,32.45614035087719
45.45454545454545,6.0606060606060606,27.272727272727273,21.21212121212121
60.75949367088608,5.063291139240507,13.924050632911394,20.253164556962027
70.93023255813954,3.488372093023256,15.116279069767442,10.465116279069768
42.5,5.0,27.5,25.0
53.60824742268041,4.123711340206185,34.020618556701024,8.24742268041237
45.34883720930233,4.651162790697675,29.069767441860467,20.930232558139537
36.36363636363636,6.0606060606060606,27.272727272727273,30.303030303030305
55.96330275229358,3.669724770642202,12.844036697247708,27.522935779816514
48.83720930232558,3.488372093023256,20.930232558139537,26.74418604651163
62.5,5.555555555555555,8.333333333333332,23.61111111111111
45.91836734693878,2.0408163265306123,21.42857142857143,30.612244897959183
41.911764705882355,2.9411764705882355,19.11764705882353,36.029411764705884
32.06106870229008,3.053435114503817,29.770992366412216,35.11450381679389
43.333333333333336,6.666666666666667,33.333333333333336,16.666666666666668
44.329896907216494,2.0618556701030926,21.649484536082472,31.958762886597935
61.53846153846154,4.615384615384616,9.230769230769232,24.615384615384617
46.73913043478261,2.1739130434782608,16.304347826086957,34.78260869565217
59.016393442622956,3.278688524590164,9.836065573770492,27.868852459016395
50.45871559633028,2.7522935779816518,12.844036697247708,33.94495412844037
59.61538461538462,3.8461538461538463,12.5,24.03846153846154
71.0,3.0,5.0,21.0
52.631578947368425,5.2631578947368425,17.10526315789474,25.0
62.68656716417911,4.477611940298508,7.462686567164179,25.373134328358212
47.01492537313433,2.238805970149254,19.402985074626866,31.343283582089555
58.87850467289719,1.8691588785046729,9.345794392523365,29.906542056074766
52.80898876404495,3.370786516853933,5.617977528089888,38.20224719101124
65.21739130434783,5.797101449275362,5.797101449275362,23.18840579710145
65.65656565656566,3.0303030303030303,8.080808080808081,23.232323232323235
78.35051546391752,2.0618556701030926,8.24742268041237,11.340206185567009
48.421052631578945,2.1052631578947367,17.894736842105264,31.57894736842105
51.44927536231884,2.898550724637681,17.391304347826086,28.26086956521739
50.0,2.2222222222222223,26.666666666666668,21.11111111111111
55.12820512820513,3.8461538461538467,6.410256410256411,34.61538461538462
58.7719298245614,2.631578947368421,14.035087719298245,24.561403508771928
42.85714285714286,2.0408163265306123,26.53061224489796,28.571428571428573
67.16417910447761,4.477611940298508,5.970149253731344,22.388059701492537
62.10526315789473,3.1578947368421053,11.578947368421051,23.157894736842103
46.46464646464647,2.0202020202020203,19.191919191919194,32.323232323232325
57.72357723577235,2.4390243902439024,13.821138211382113,26.016260162601625
