target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,target
1,13.461538461538462,16.45299145299145,17.735042735042736,14.52991452991453,13.888888888888888,8.76068376068376,9.615384615384615,5.555555555555555,1
dot,14.912280701754385,15.789473684210526,16.666666666666664,14.912280701754385,13.157894736842104,6.140350877192982,9.649122807017543,8.771929824561402,40
a,14.784946236559138,16.93548387096774,18.01075268817204,15.32258064516129,13.440860215053762,5.913978494623656,8.602150537634408,6.989247311827956,10
dot,13.223140495867769,14.87603305785124,16.528925619834713,15.702479338842975,14.049586776859504,8.264462809917356,9.917355371900827,7.43801652892562,40
T,16.0,17.066666666666666,18.666666666666668,14.933333333333334,14.4,4.8,8.266666666666666,5.866666666666666,38
b,17.718446601941746,18.689320388349515,18.689320388349515,15.776699029126213,15.048543689320388,2.912621359223301,5.825242718446602,5.339805825242719,11
dot,14.018691588785046,15.88785046728972,17.757009345794394,15.88785046728972,14.018691588785046,6.542056074766355,9.345794392523365,6.542056074766355,40
F,13.753581661891117,14.61318051575931,18.624641833810887,18.624641833810887,18.05157593123209,7.163323782234957,6.876790830945558,2.292263610315186,33
c,13.924050632911394,16.455696202531648,17.974683544303797,15.18987341772152,13.164556962025317,6.835443037974684,9.367088607594937,7.088607594936709,12
c,13.924050632911394,16.455696202531648,17.974683544303797,15.18987341772152,13.164556962025317,6.835443037974684,9.367088607594937,7.088607594936709,12
c,13.924050632911394,16.455696202531648,17.974683544303797,15.18987341772152,13.164556962025317,6.835443037974684,9.367088607594937,7.088607594936709,12
dot,13.541666666666668,15.625000000000002,16.666666666666668,14.583333333333334,13.541666666666668,8.333333333333334,10.416666666666668,7.291666666666667,40
T,13.141683778234086,13.347022587268993,18.68583162217659,15.40041067761807,14.579055441478438,7.186858316221765,11.293634496919918,6.365503080082135,38
d,14.065510597302506,15.992292870905588,18.11175337186898,15.992292870905588,14.258188824662813,6.551059730250482,8.670520231213873,6.358381502890174,13
d,14.065510597302506,15.992292870905588,18.11175337186898,15.992292870905588,14.258188824662813,6.551059730250482,8.670520231213873,6.358381502890174,13
d,14.065510597302506,15.992292870905588,18.11175337186898,15.992292870905588,14.258188824662813,6.551059730250482,8.670520231213873,6.358381502890174,13
dot,13.592233009708739,14.563106796116505,16.50485436893204,13.592233009708739,12.62135922330097,8.737864077669903,11.650485436893204,8.737864077669903,40
F,15.0,16.47058823529412,18.529411764705884,18.235294117647058,17.058823529411764,5.588235294117648,5.882352941176471,3.235294117647059,33
2,10.546875,15.625,17.3828125,15.8203125,15.234375,12.5,9.765625,3.125,2
dot,13.08411214953271,14.018691588785046,16.822429906542055,14.953271028037383,14.018691588785046,8.411214953271028,11.214953271028037,7.4766355140186915,40
e,13.910761154855642,15.748031496062993,18.11023622047244,15.748031496062993,13.385826771653543,6.299212598425196,9.448818897637794,7.349081364829396,14
e,13.910761154855642,15.748031496062993,18.11023622047244,15.748031496062993,13.385826771653543,6.299212598425196,9.448818897637794,7.349081364829396,14
