target_names,left_zone,right_zone,upper_zone,down_zone,target
O,29.217391304347824,20.782608695652172,25.913043478260867,24.08695652173913,0
O,25.176678445229683,24.82332155477032,25.265017667844525,24.73498233215548,0
O,27.863777089783284,22.13622291021672,25.696594427244584,24.30340557275542,0
O,27.77777777777778,22.222222222222225,24.57912457912458,25.420875420875422,0
O,25.950413223140497,24.049586776859506,25.041322314049587,24.958677685950413,0
O,26.18595825426945,23.814041745730552,23.814041745730552,26.18595825426945,0
O,27.009345794392523,22.990654205607477,24.485981308411215,25.514018691588785,0
O,26.950998185117967,23.049001814882033,24.047186932849364,25.952813067150636,0
O,27.392739273927393,22.607260726072607,23.762376237623762,26.237623762376238,0
O,26.985413290113453,23.014586709886547,25.040518638573744,24.959481361426256,0
O,26.95035460992908,23.04964539007092,24.46808510638298,25.53191489361702,0
O,27.364864864864863,22.635135135135133,24.83108108108108,25.16891891891892,0
O,26.075731497418243,23.924268502581754,23.666092943201377,26.333907056798623,0
O,26.371681415929203,23.628318584070797,24.690265486725664,25.309734513274336,0
O,25.932835820895523,24.06716417910448,23.32089552238806,26.679104477611943,0
O,27.611940298507463,22.388059701492537,24.253731343283583,25.74626865671642,0
O,27.214022140221402,22.785977859778598,25.0,25.0,0
O,27.109375,22.890625,24.296875,25.703125,0
O,25.495049504950494,24.504950495049506,24.752475247524753,25.247524752475247,0
O,26.779026217228466,23.220973782771537,24.063670411985022,25.936329588014985,0
O,27.62906309751434,22.37093690248566,24.952198852772465,25.04780114722753,0
O,26.523297491039425,23.476702508960575,25.089605734767026,24.910394265232974,0
O,26.25754527162978,23.742454728370223,23.340040241448694,26.65995975855131,0
O,26.853526220614828,23.146473779385172,23.32730560578662,26.67269439421338,0
O,26.470588235294116,23.529411764705884,24.242424242424242,25.757575757575758,0
O,26.69172932330827,23.308270676691727,24.43609022556391,25.563909774436087,0
O,27.120141342756185,22.879858657243815,23.40989399293286,26.59010600706714,0
O,29.217791411042946,20.782208588957054,27.99079754601227,22.00920245398773,0
O,26.706484641638227,23.293515358361777,24.2320819112628,25.767918088737204,0
O,27.834179357021995,22.165820642978,25.465313028764804,24.534686971235196,0
O,26.976284584980238,23.023715415019762,24.50592885375494,25.49407114624506,0
O,27.89915966386555,22.100840336134457,26.134453781512608,23.865546218487395,0
O,26.491862567811935,23.508137432188065,24.050632911392405,25.949367088607595,0
O,26.992753623188406,23.007246376811594,25.090579710144926,24.909420289855074,0
O,27.320490367775832,22.679509632224168,24.080560420315237,25.919439579684763,0
O,27.655677655677653,22.344322344322343,23.168498168498168,26.83150183150183,0
O,26.56488549618321,23.435114503816795,23.51145038167939,26.48854961832061,0
O,26.302521008403364,23.69747899159664,22.689075630252102,27.3109243697479,0
O,26.970227670753065,23.029772329246935,23.642732049036777,26.357267950963223,0
O,27.32342007434944,22.676579925650557,24.44237918215613,25.557620817843866,0
O,26.638655462184875,23.36134453781513,23.613445378151262,26.38655462184874,0
O,26.320582877959925,23.67941712204007,23.132969034608376,26.86703096539162,0
O,25.43402777777778,24.56597222222222,24.04513888888889,25.95486111111111,0
O,27.10951526032316,22.89048473967684,24.775583482944345,25.224416517055655,0
O,27.027027027027025,22.972972972972972,24.155405405405403,25.844594594594593,0
O,26.221804511278194,23.778195488721803,23.590225563909772,26.409774436090224,0
O,26.69724770642202,23.30275229357798,23.30275229357798,26.69724770642202,0
O,26.875,23.125,25.982142857142858,24.017857142857142,0
O,27.767527675276753,22.232472324723247,24.2619926199262,25.7380073800738,0
O,26.04355716878403,23.95644283121597,24.682395644283122,25.317604355716878,0
O,27.047619047619047,22.952380952380953,23.904761904761905,26.095238095238095,0
O,27.434456928838955,22.565543071161052,23.50187265917603,26.49812734082397,0
O,27.171903881700555,22.828096118299445,22.735674676524955,27.26432532347505,0
O,26.833631484794278,23.166368515205725,22.450805008944545,27.549194991055458,0
O,27.071290944123316,22.928709055876688,23.603082851637765,26.396917148362235,0
O,27.305605786618443,22.694394213381557,24.050632911392405,25.949367088607595,0
O,25.470332850940665,24.529667149059332,25.108538350217074,24.891461649782922,0
O,26.284246575342465,23.71575342465753,25.0,25.0,0
O,26.16387337057728,23.83612662942272,22.905027932960895,27.094972067039105,0
O,27.30263157894737,22.697368421052634,23.519736842105264,26.48026315789474,0
O,26.140684410646386,23.85931558935361,23.288973384030417,26.71102661596958,0
O,26.438848920863308,23.56115107913669,24.280575539568343,25.719424460431654,0
O,26.427255985267035,23.572744014732965,22.92817679558011,27.07182320441989,0
O,26.695652173913043,23.304347826086957,24.52173913043478,25.478260869565215,0
O,26.12456747404844,23.875432525951556,24.999999999999996,24.999999999999996,0
O,26.39344262295082,23.606557377049178,24.01639344262295,25.983606557377048,0
O,25.0,25.0,23.84868421052632,26.151315789473685,0
O,28.80794701986755,21.192052980132452,22.8476821192053,27.152317880794705,0
O,26.311336717428087,23.688663282571913,24.28087986463621,25.71912013536379,0
O,26.53543307086614,23.46456692913386,24.64566929133858,25.35433070866142,0
O,26.99044585987261,23.00955414012739,23.805732484076433,26.194267515923567,0
O,25.929054054054053,24.070945945945944,23.902027027027028,26.097972972972972,0
O,26.519337016574585,23.480662983425415,23.112338858195212,26.887661141804788,0
O,27.242524916943523,22.75747508305648,25.74750830564784,24.25249169435216,0
O,25.77586206896552,24.224137931034484,23.362068965517242,26.63793103448276,0
O,26.755852842809364,23.244147157190636,24.83277591973244,25.16722408026756,0
O,25.659050966608085,24.340949033391915,24.340949033391915,25.659050966608085,0
O,26.859504132231407,23.140495867768596,25.041322314049587,24.958677685950413,0
O,25.680272108843536,24.31972789115646,24.404761904761905,25.595238095238095,0
O,26.626712328767123,23.373287671232877,23.63013698630137,26.36986301369863,0
O,26.16580310880829,23.83419689119171,24.784110535405873,25.215889464594127,0
O,25.57726465364121,24.42273534635879,23.534635879218474,26.46536412078153,0
O,26.850094876660343,23.14990512333966,25.426944971537,24.573055028463,0
O,27.504725897920604,22.495274102079396,24.574669187145556,25.425330812854444,0
O,26.011029411764707,23.988970588235297,23.897058823529413,26.10294117647059,0
O,24.719101123595507,25.280898876404496,24.53183520599251,25.468164794007492,0
O,26.45985401459854,23.54014598540146,23.905109489051096,26.094890510948904,0
O,26.83150183150183,23.168498168498168,24.358974358974358,25.64102564102564,0
O,26.17391304347826,23.82608695652174,25.043478260869563,24.956521739130434,0
O,26.81034482758621,23.189655172413794,23.27586206896552,26.724137931034484,0
O,27.79783393501805,22.202166064981952,24.819494584837546,25.180505415162457,0
O,25.836431226765797,24.1635687732342,23.884758364312265,26.11524163568773,0
O,26.693227091633464,23.306772908366533,23.50597609561753,26.49402390438247,0
O,26.35135135135135,23.64864864864865,23.93822393822394,26.06177606177606,0
O,27.316602316602317,22.683397683397683,23.841698841698843,26.15830115830116,0
