target_names,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,52.27272727272728,2.272727272727273,21.590909090909093,23.863636363636367,0
O,48.45360824742268,2.0618556701030926,20.618556701030926,28.865979381443296,0
O,55.43478260869565,2.1739130434782608,18.478260869565215,23.913043478260867,0
O,54.44444444444445,2.2222222222222223,16.666666666666668,26.666666666666668,0
O,51.546391752577314,2.0618556701030926,19.58762886597938,26.804123711340203,0
O,51.13636363636364,2.272727272727273,19.31818181818182,27.272727272727273,0
O,54.02298850574712,2.2988505747126435,17.241379310344826,26.4367816091954,0
O,52.74725274725275,2.197802197802198,18.681318681318682,26.373626373626376,0
O,56.52173913043478,2.1739130434782608,15.217391304347824,26.08695652173913,0
O,48.51485148514851,1.9801980198019802,21.78217821782178,27.722772277227723,0
O,55.68181818181819,2.272727272727273,17.045454545454547,25.000000000000004,0
O,53.12500000000001,2.0833333333333335,18.75,26.041666666666668,0
O,54.44444444444445,2.2222222222222223,17.77777777777778,25.555555555555557,0
O,53.333333333333336,2.2222222222222223,18.88888888888889,25.555555555555557,0
O,52.94117647058824,2.3529411764705883,21.176470588235293,23.529411764705884,0
O,54.651162790697676,2.3255813953488373,18.6046511627907,24.41860465116279,0
O,57.14285714285714,2.380952380952381,19.047619047619047,21.428571428571427,0
O,51.48514851485149,1.9801980198019802,20.792079207920793,25.742574257425744,0
O,48.54368932038835,1.941747572815534,22.33009708737864,27.184466019417478,0
O,52.80898876404495,2.247191011235955,21.348314606741575,23.59550561797753,0
O,53.48837209302326,2.3255813953488373,22.093023255813954,22.093023255813954,0
O,51.086956521739125,2.1739130434782608,21.73913043478261,25.0,0
O,56.9620253164557,2.5316455696202533,15.18987341772152,25.31645569620253,0
O,56.97674418604652,2.3255813953488373,18.6046511627907,22.093023255813954,0
O,53.846153846153854,2.197802197802198,19.78021978021978,24.17582417582418,0
O,52.27272727272728,2.272727272727273,21.590909090909093,23.863636363636367,0
O,51.61290322580645,2.150537634408602,18.279569892473116,27.956989247311824,0
O,50.0,2.127659574468085,24.46808510638298,23.404255319148938,0
O,52.63157894736842,2.1052631578947367,23.157894736842103,22.105263157894736,0
O,55.172413793103445,2.2988505747126435,21.839080459770113,20.689655172413794,0
O,54.32098765432099,2.4691358024691357,20.98765432098765,22.22222222222222,0
O,51.086956521739125,2.1739130434782608,20.652173913043477,26.08695652173913,0
O,48.387096774193544,2.150537634408602,25.806451612903224,23.655913978494624,0
O,48.35164835164836,2.197802197802198,27.472527472527474,21.978021978021978,0
O,49.46236559139785,2.150537634408602,24.731182795698924,23.655913978494624,0
O,48.93617021276596,2.127659574468085,20.21276595744681,28.72340425531915,0
O,53.26086956521739,2.1739130434782608,15.217391304347824,29.34782608695652,0
O,50.574712643678154,2.2988505747126435,19.54022988505747,27.586206896551722,0
O,56.09756097560975,2.4390243902439024,17.073170731707318,24.390243902439025,0
O,52.4390243902439,2.4390243902439024,19.51219512195122,25.609756097560975,0
O,50.56179775280899,2.247191011235955,21.348314606741575,25.842696629213485,0
O,50.61728395061728,2.4691358024691357,17.28395061728395,29.629629629629626,0
O,51.72413793103448,2.2988505747126435,20.689655172413794,25.287356321839077,0
O,49.411764705882355,2.3529411764705883,21.176470588235293,27.058823529411764,0
O,54.11764705882353,2.3529411764705883,17.647058823529413,25.88235294117647,0
O,51.21951219512195,2.4390243902439024,13.414634146341463,32.926829268292686,0
O,56.410256410256416,2.5641025641025643,16.666666666666668,24.35897435897436,0
O,49.42528735632184,2.2988505747126435,18.39080459770115,29.885057471264368,0
O,54.216867469879524,2.4096385542168677,19.27710843373494,24.096385542168676,0
O,53.409090909090914,2.272727272727273,19.31818181818182,25.000000000000004,0
O,56.09756097560975,2.4390243902439024,19.51219512195122,21.95121951219512,0
O,55.696202531645575,2.5316455696202533,16.455696202531648,25.31645569620253,0
O,56.25,2.5,16.25,25.0,0
O,49.45054945054945,2.197802197802198,19.78021978021978,28.571428571428573,0
O,55.55555555555555,2.4691358024691357,19.753086419753085,22.22222222222222,0
O,51.72413793103448,2.2988505747126435,20.689655172413794,25.287356321839077,0
O,49.01960784313725,1.9607843137254901,21.56862745098039,27.45098039215686,0
O,53.409090909090914,2.272727272727273,22.72727272727273,21.590909090909093,0
O,54.76190476190476,2.380952380952381,17.857142857142858,25.0,0
O,53.26086956521739,2.1739130434782608,17.391304347826086,27.173913043478258,0
O,53.65853658536585,2.4390243902439024,19.51219512195122,24.390243902439025,0
O,55.294117647058826,2.3529411764705883,18.823529411764707,23.529411764705884,0
O,52.94117647058824,2.3529411764705883,21.176470588235293,23.529411764705884,0
O,53.409090909090914,2.272727272727273,21.590909090909093,22.72727272727273,0
O,52.80898876404495,2.247191011235955,20.224719101123597,24.719101123595507,0
O,52.12765957446808,2.127659574468085,23.404255319148938,22.340425531914892,0
O,47.95918367346939,2.0408163265306123,24.48979591836735,25.510204081632654,0
O,57.64705882352941,2.3529411764705883,17.647058823529413,22.35294117647059,0
O,49.45054945054945,2.197802197802198,25.274725274725277,23.07692307692308,0
O,51.546391752577314,2.0618556701030926,23.711340206185564,22.680412371134018,0
O,50.515463917525764,2.0618556701030926,21.649484536082472,25.773195876288657,0
O,52.12765957446808,2.127659574468085,24.46808510638298,21.27659574468085,0
O,50.56179775280899,2.247191011235955,21.348314606741575,25.842696629213485,0
O,54.651162790697676,2.3255813953488373,19.767441860465116,23.255813953488374,0
O,50.549450549450555,2.197802197802198,19.78021978021978,27.472527472527474,0
O,52.27272727272728,2.272727272727273,20.454545454545457,25.000000000000004,0
O,51.76470588235294,2.3529411764705883,18.823529411764707,27.058823529411764,0
O,52.80898876404495,2.247191011235955,19.10112359550562,25.842696629213485,0
O,48.88888888888889,2.2222222222222223,21.11111111111111,27.77777777777778,0
O,53.57142857142857,2.380952380952381,20.238095238095237,23.80952380952381,0
O,56.62650602409639,2.4096385542168677,15.66265060240964,25.30120481927711,0
O,51.72413793103448,2.2988505747126435,18.39080459770115,27.586206896551722,0
O,53.75,2.5,17.5,26.25,0
O,53.01204819277109,2.4096385542168677,21.68674698795181,22.89156626506024,0
O,46.66666666666667,2.2222222222222223,22.22222222222222,28.88888888888889,0
O,46.73913043478261,2.1739130434782608,22.82608695652174,28.26086956521739,0
O,51.76470588235294,2.3529411764705883,20.0,25.88235294117647,0
O,51.162790697674424,2.3255813953488373,18.6046511627907,27.906976744186046,0
O,51.111111111111114,2.2222222222222223,20.0,26.666666666666668,0
O,51.64835164835165,2.197802197802198,18.681318681318682,27.472527472527474,0
O,57.3170731707317,2.4390243902439024,14.634146341463413,25.609756097560975,0
O,46.66666666666667,2.2222222222222223,21.11111111111111,30.0,0
O,50.60240963855422,2.4096385542168677,16.867469879518072,30.120481927710845,0
O,51.25,2.5,16.25,30.0,0
O,51.21951219512195,2.4390243902439024,20.73170731707317,25.609756097560975,0
O,46.42857142857143,2.380952380952381,22.61904761904762,28.57142857142857,0
O,53.01204819277109,2.4096385542168677,20.481927710843376,24.096385542168676,0
O,48.88888888888889,2.2222222222222223,24.444444444444446,24.444444444444446,0
O,56.410256410256416,2.5641025641025643,17.94871794871795,23.07692307692308,0
O,49.42528735632184,2.2988505747126435,22.988505747126435,25.287356321839077,0
O,52.38095238095238,2.380952380952381,20.238095238095237,25.0,0
O,51.898734177215196,2.5316455696202533,21.518987341772153,24.050632911392405,0
O,53.01204819277109,2.4096385542168677,21.68674698795181,22.89156626506024,0
O,50.549450549450555,2.197802197802198,19.78021978021978,27.472527472527474,0
O,53.01204819277109,2.4096385542168677,19.27710843373494,25.30120481927711,0
O,51.72413793103448,2.2988505747126435,16.091954022988503,29.885057471264368,0
O,52.32558139534884,2.3255813953488373,18.6046511627907,26.74418604651163,0
O,53.08641975308642,2.4691358024691357,20.98765432098765,23.456790123456788,0
O,57.14285714285714,2.380952380952381,17.857142857142858,22.61904761904762,0
O,57.89473684210527,2.6315789473684212,17.10526315789474,22.368421052631582,0
O,51.13636363636364,2.272727272727273,22.72727272727273,23.863636363636367,0
O,51.21951219512195,2.4390243902439024,21.95121951219512,24.390243902439025,0
O,53.26086956521739,2.1739130434782608,15.217391304347824,29.34782608695652,0
O,53.846153846153854,2.5641025641025643,17.94871794871795,25.641025641025642,0
O,48.31460674157304,2.247191011235955,22.471910112359552,26.966292134831463,0
O,51.19047619047619,2.380952380952381,22.61904761904762,23.80952380952381,0
O,48.86363636363637,2.272727272727273,21.590909090909093,27.272727272727273,0
O,51.68539325842697,2.247191011235955,19.10112359550562,26.966292134831463,0
O,51.13636363636364,2.272727272727273,20.454545454545457,26.13636363636364,0
O,50.0,2.127659574468085,22.340425531914892,25.53191489361702,0
O,53.01204819277109,2.4096385542168677,16.867469879518072,27.71084337349398,0
O,50.0,2.3255813953488373,22.093023255813954,25.581395348837212,0
O,54.76190476190476,2.380952380952381,16.666666666666668,26.19047619047619,0
O,52.8735632183908,2.2988505747126435,21.839080459770113,22.988505747126435,0
O,52.17391304347826,2.1739130434782608,22.82608695652174,22.82608695652174,0
O,52.32558139534884,2.3255813953488373,19.767441860465116,25.581395348837212,0
O,51.162790697674424,2.3255813953488373,22.093023255813954,24.41860465116279,0
O,52.94117647058824,2.3529411764705883,17.647058823529413,27.058823529411764,0
O,54.216867469879524,2.4096385542168677,20.481927710843376,22.89156626506024,0
O,48.275862068965516,2.2988505747126435,24.137931034482758,25.287356321839077,0
O,50.0,2.2222222222222223,22.22222222222222,25.555555555555557,0
O,51.19047619047619,2.380952380952381,19.047619047619047,27.38095238095238,0
O,51.68539325842697,2.247191011235955,21.348314606741575,24.719101123595507,0
O,47.77777777777778,2.2222222222222223,26.666666666666668,23.333333333333336,0
O,51.61290322580645,2.150537634408602,21.50537634408602,24.731182795698924,0
