target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,target
O,14.444444444444443,15.777777777777777,18.22222222222222,16.666666666666664,14.0,5.333333333333333,8.444444444444445,7.111111111111111,0
O,14.285714285714285,16.2426614481409,17.80821917808219,15.851272015655576,12.720156555772993,5.6751467710371815,9.001956947162427,8.414872798434441,0
O,14.853556485355648,16.736401673640167,17.99163179916318,16.527196652719663,13.807531380753137,5.230125523012552,7.740585774058577,7.112970711297071,0
O,15.17094017094017,16.88034188034188,17.94871794871795,16.23931623931624,13.247863247863247,4.700854700854701,7.905982905982905,7.905982905982905,0
O,14.538310412573672,16.30648330058939,17.87819253438114,16.30648330058939,13.163064833005894,5.304518664047151,8.447937131630647,8.055009823182711,0
O,14.69298245614035,16.666666666666664,17.982456140350877,15.789473684210526,13.157894736842104,5.482456140350877,8.552631578947368,7.675438596491228,0
O,15.212527964205815,16.554809843400445,18.120805369127517,16.331096196868007,13.422818791946309,4.47427293064877,8.053691275167784,7.829977628635347,0
O,14.8619957537155,16.985138004246284,18.04670912951168,15.711252653927813,13.375796178343949,5.520169851380043,8.280254777070065,7.218683651804671,0
O,14.763779527559056,16.338582677165356,17.913385826771655,16.141732283464567,13.779527559055119,5.511811023622047,8.267716535433072,7.283464566929134,0
O,14.340344168260037,15.678776290630974,18.164435946462714,16.061185468451242,13.193116634799235,5.353728489483747,9.177820267686425,8.030592734225621,0
O,15.13157894736842,17.105263157894736,17.982456140350877,16.228070175438596,13.596491228070175,5.0438596491228065,7.675438596491228,7.2368421052631575,0
O,14.979757085020243,16.59919028340081,18.218623481781375,15.991902834008096,13.562753036437247,5.060728744939271,8.299595141700404,7.28744939271255,0
O,15.086206896551722,16.810344827586206,18.103448275862068,16.163793103448274,13.577586206896552,4.956896551724138,7.974137931034482,7.327586206896552,0
O,14.870689655172413,16.379310344827584,18.103448275862068,16.379310344827584,13.577586206896552,4.956896551724138,8.189655172413792,7.543103448275861,0
O,14.350797266514807,16.62870159453303,17.995444191343964,16.173120728929383,13.895216400911162,6.150341685649202,8.200455580865604,6.605922551252847,0
O,14.864864864864865,16.89189189189189,18.01801801801802,16.216216216216218,13.73873873873874,5.405405405405405,7.882882882882883,6.981981981981982,0
O,14.61187214611872,16.666666666666664,17.80821917808219,17.123287671232877,14.15525114155251,5.47945205479452,7.30593607305936,6.8493150684931505,0
O,14.476190476190474,16.38095238095238,18.095238095238095,16.0,13.523809523809524,5.7142857142857135,8.571428571428571,7.238095238095237,0
O,13.996316758747698,16.022099447513813,17.863720073664826,16.022099447513813,13.075506445672191,6.077348066298343,9.023941068139964,7.918968692449355,0
O,14.505494505494505,16.263736263736263,18.24175824175824,16.263736263736263,14.065934065934066,5.714285714285714,8.351648351648352,6.593406593406593,0
O,14.318181818181818,16.136363636363637,18.18181818181818,16.59090909090909,14.318181818181818,5.909090909090909,8.181818181818182,6.363636363636363,0
O,14.285714285714286,15.966386554621849,18.067226890756302,16.386554621848738,13.655462184873949,5.6722689075630255,8.61344537815126,7.352941176470589,0
O,15.403422982885084,17.359413202933986,17.84841075794621,16.381418092909534,13.447432762836184,4.645476772616137,7.334963325183374,7.579462102689487,0
O,14.93212669683258,16.742081447963802,18.099547511312217,16.742081447963802,14.253393665158372,5.203619909502263,7.46606334841629,6.5610859728506785,0
O,14.649681528662422,16.772823779193207,18.04670912951168,16.13588110403397,13.800424628450108,5.7324840764331215,8.067940552016985,6.794055201698514,0
O,14.406779661016948,16.313559322033896,17.796610169491526,15.889830508474576,13.347457627118644,5.932203389830509,8.686440677966102,7.627118644067796,0
O,14.96881496881497,16.839916839916842,18.08731808731809,15.592515592515593,13.097713097713099,5.197505197505198,8.523908523908524,7.6923076923076925,0
O,13.842975206611571,15.289256198347108,18.181818181818183,16.735537190082646,14.049586776859504,5.991735537190083,8.884297520661157,7.024793388429752,0
