direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w
13.197969543147208,16.07445008460237,17.93570219966159,13.367174280879864,12.690355329949238,8.798646362098138,11.16751269035533,6.768189509306261,30.2367941712204,19.763205828779597,24.13479052823315,25.865209471766846,38.46153846153846,3.4188034188034186,28.205128205128204,29.914529914529915
13.664596273291924,14.906832298136646,18.012422360248447,15.527950310559005,13.043478260869565,6.211180124223602,10.559006211180124,8.074534161490682,23.92857142857143,26.071428571428573,25.714285714285715,24.285714285714285,40.0,5.714285714285714,25.714285714285715,28.571428571428573
15.200000000000001,17.8,18.2,12.8,12.4,6.6000000000000005,10.0,7.0,28.513238289205706,21.486761710794298,22.810590631364562,27.189409368635438,44.554455445544555,3.9603960396039604,19.801980198019802,31.683168316831683
13.138686131386862,16.05839416058394,17.51824817518248,15.328467153284672,12.408759124087592,7.299270072992701,10.21897810218978,8.02919708029197,23.232323232323235,26.767676767676768,24.747474747474747,25.252525252525253,38.70967741935483,6.451612903225806,25.806451612903224,29.032258064516128
13.276231263383298,14.132762312633833,19.271948608137045,18.629550321199144,18.201284796573876,7.28051391862955,7.494646680942185,1.7130620985010707,38.392857142857146,11.607142857142858,26.785714285714285,23.214285714285715,59.37500000000001,2.0833333333333335,31.250000000000004,7.291666666666667
12.890625,14.84375,18.75,12.890625,12.5,8.59375,12.6953125,6.8359375,25.806451612903224,24.193548387096776,20.852534562211982,29.147465437788018,32.38095238095238,2.8571428571428568,31.428571428571427,33.33333333333333
11.44578313253012,14.457831325301207,17.46987951807229,15.66265060240964,13.85542168674699,9.63855421686747,10.843373493975905,6.626506024096386,20.238095238095237,29.76190476190476,23.809523809523807,26.19047619047619,37.142857142857146,5.714285714285714,34.285714285714285,22.857142857142858
11.029411764705884,11.764705882352942,18.933823529411764,17.830882352941178,16.72794117647059,9.191176470588236,10.845588235294118,3.6764705882352944,23.30173775671406,26.69826224328594,38.15165876777251,11.848341232227488,41.73913043478261,3.4782608695652173,40.869565217391305,13.91304347826087
14.3801652892562,15.702479338842975,18.016528925619834,14.214876033057852,11.570247933884298,5.454545454545455,10.90909090909091,9.75206611570248,13.546798029556651,36.45320197044335,19.58128078817734,30.418719211822662,41.228070175438596,3.508771929824561,22.807017543859647,32.45614035087719
13.372093023255815,15.697674418604652,16.86046511627907,15.116279069767442,13.372093023255815,8.13953488372093,9.883720930232558,7.558139534883721,25.384615384615387,24.615384615384617,27.692307692307693,22.30769230769231,45.45454545454545,6.0606060606060606,27.272727272727273,21.21212121212121
16.666666666666668,17.5,18.61111111111111,16.666666666666668,15.277777777777779,3.611111111111111,6.388888888888889,5.277777777777778,25.720620842572064,24.27937915742794,35.144124168514416,14.855875831485589,60.75949367088608,5.063291139240507,13.924050632911394,20.253164556962027
